
(1152,537)
(1151,538)
(1151,539)
(1151,540)
(1150,540)
(1150,541)
(1149,542)
(1149,542)
(1148,542)
(1147,545)
(1146,547)
(1145,547)
(1145,549)
(1144,549)
(1143,550)
(1142,551)
(1141,552)
(1141,553)
(1139,555)
(1139,556)
(1138,556)
(1137,557)
(1136,559)
(1135,559)
(1128,564)
(1124,565)
(1113,573)
(1108,575)
(1099,583)
(1092,587)
(1082,595)
(1079,597)
(1071,605)
(1066,608)
(1059,612)
(1057,615)
(1050,619)
(1048,620)
(1042,624)
(1039,626)
(1035,629)
(1033,630)
(1026,634)
(1024,634)
(1018,636)
(1017,638)
(1012,641)
(1010,642)
(1005,644)
(1003,645)
(998,647)
(993,650)
(988,655)
(985,656)
(977,663)
(973,664)
(964,669)
(960,671)
(952,676)
(949,677)
(941,681)
(937,684)
(928,689)
(926,690)
(916,693)
(913,694)
(902,697)
(897,698)
(887,702)
(883,703)
(875,706)
(872,707)
(864,710)
(861,712)
(851,718)
(846,719)
(835,727)
(832,730)
(821,736)
(818,739)
(810,744)
(806,746)
(801,749)
(798,750)
(796,750)
(794,750)
(793,750)
(791,752)
(781,759)
(777,762)
(766,770)
(763,774)
(752,781)
(750,784)
(738,791)
(735,793)
(725,798)
(721,800)
(712,806)
(708,808)
(703,812)
(699,813)
(693,817)
(690,819)
(684,821)
(680,824)
(674,829)
(672,831)
(665,835)
(662,837)
(655,842)
(653,843)
(647,847)
(645,848)
(641,853)
(638,854)
(634,857)
(633,859)
(630,861)
(628,861)
(624,866)
(622,866)
(620,868)
(619,870)
(614,872)
(612,873)
(610,877)
(608,878)
(603,880)
(601,881)
(598,883)
(597,884)
(593,889)
(591,890)
(588,893)
(586,894)
(581,898)
(579,900)
(576,902)
(573,903)
(570,907)
(568,909)
(566,911)
(565,912)
(561,914)
(560,915)
(558,917)
(557,919)
(555,921)
(552,922)
(550,924)
(549,924)
(547,926)
(546,927)
(542,929)
(541,930)
(539,932)
(537,933)
(535,934)
(534,935)
(531,936)
(530,936)
(528,939)
(526,940)
(525,940)
(523,941)
(522,941)
(520,943)
(518,944)
(517,945)
(515,946)
(512,950)
(511,950)
(509,951)
(508,952)
(506,954)
(503,955)
(500,959)
(500,960)
(497,963)
(496,965)
(491,970)
(489,972)
(486,974)
(484,976)
(479,981)
(478,982)
(475,985)
(473,986)
(468,988)
(467,989)
(463,993)
(462,993)
(457,997)
(456,997)
(453,999)
(451,1000)
(446,1005)
(444,1006)
(440,1008)
(437,1010)
(432,1015)
(431,1017)
(427,1020)
(424,1022)
(420,1027)
(419,1029)
(413,1034)
(410,1038)
(404,1041)
(401,1044)
(396,1047)
(394,1050)
(387,1052)
(385,1054)
(382,1055)
(381,1056)
(377,1058)
(376,1058)
(373,1060)
(372,1061)
(370,1061)
(368,1062)
(366,1062)
(365,1062)
(363,1063)
(362,1063)
(358,1064)
(357,1064)
(353,1065)
(352,1065)
(347,1066)
(346,1067)
(342,1068)
(338,1070)
(334,1071)
(332,1072)
(325,1074)
(325,1075)
(322,1076)
(320,1078)
(315,1079)
(313,1081)
(310,1081)
(309,1079)
(304,1081)
(304,1080)
(301,1081)
(300,1079)
(298,1082)
(296,1080)
(294,1080)
(293,1080)
(291,1080)
(290,1080)
(289,1079)
(289,1079)
(289,1079)
(289,1079)
(289,1079)
(290,1079)
(290,1078)
(290,1077)
(290,1076)
(290,1075)
(290,1074)
(290,1073)
(290,1072)
(290,1071)
(290,1070)
(290,1069)
(290,1068)
(290,1068)
(290,1067)
(290,1065)
cl(290,1065)
cl(290,1065)
pressed 'n'
released 'n'
pressed 'o'
released 'o'
pressed 't'
released 't'
pressed 'e'
released 'e'
(291,1060)
(299,1047)
(301,1044)
(309,1031)
(311,1026)
(319,1011)
(321,1005)
(327,990)
(328,986)
(335,973)
(337,970)
(341,960)
(343,957)
(349,948)
(350,946)
(354,937)
(356,933)
(363,924)
(365,920)
(371,911)
(375,905)
(381,895)
(383,891)
(391,883)
(395,879)
(403,868)
(405,866)
(412,856)
(415,853)
(421,846)
(424,841)
(429,834)
(432,830)
(435,825)
(437,823)
(444,817)
(446,814)
(453,809)
(454,805)
(459,799)
(462,797)
(469,787)
(471,784)
(479,774)
(481,771)
(487,761)
(489,759)
(496,749)
(500,747)
(506,740)
(508,738)
(514,731)
(517,728)
(522,724)
(526,722)
(532,719)
(534,716)
(539,712)
(542,711)
(546,706)
(548,704)
(555,699)
(557,697)
(567,688)
(569,685)
(576,678)
(581,676)
(590,670)
(594,664)
(603,658)
(608,656)
(613,649)
(617,646)
(623,641)
(627,638)
(634,632)
(637,630)
(643,623)
(646,621)
(651,614)
(654,611)
(658,607)
(661,605)
(666,599)
(668,596)
(676,591)
(678,588)
(686,582)
(690,580)
(697,573)
(700,571)
(705,566)
(708,562)
(714,559)
(716,556)
(722,554)
(724,551)
(729,547)
(733,546)
(736,545)
(738,544)
(740,543)
(741,542)
(745,540)
(746,539)
(748,538)
(750,537)
(753,536)
(754,535)
(757,534)
(758,533)
(761,532)
(763,530)
(766,529)
(767,528)
(769,527)
(770,526)
(773,525)
(773,524)
(776,523)
(777,523)
(778,523)
(779,521)
(782,520)
(783,520)
(785,520)
(786,519)
(787,519)
(788,518)
(788,517)
(789,517)
(792,516)
(793,516)
(794,515)
(795,515)
(797,514)
(797,513)
(798,513)
(798,511)
(800,510)
(801,510)
(802,510)
(804,510)
(805,510)
(806,510)
(807,510)
(807,510)
(809,510)
(811,510)
(812,510)
(814,510)
(815,510)
(819,510)
